DATAFLOW,FREQ: Frequency,EU_NORM: EU Norm,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,NOTE_NORM_3: Note EU Norm,NOTE_NORM_2: Note EU Norm,NOTE_NORM_1: Note EU Norm,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A3200(1.1),A: Annual,SL05: 10000,SL05: carbon monoxide (CO) (in µg/m³),2018,999,,,S06: Average over 8 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL05: 10000,SL05: carbon monoxide (CO) (in µg/m³),2019,1101,,,S06: Average over 8 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL05: 10000,SL05: carbon monoxide (CO) (in µg/m³),2020,980,,,S06: Average over 8 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL05: 10000,SL05: carbon monoxide (CO) (in µg/m³),2021,1081,,,S06: Average over 8 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL05: 10000,SL05: carbon monoxide (CO) (in µg/m³),2022,916,,,S06: Average over 8 hours.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL02: 40,SL02: nitrogen dioxide (NO2) (in µg/m³),2018,42,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL02: 40,SL02: nitrogen dioxide (NO2) (in µg/m³),2019,44,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL02: 40,SL02: nitrogen dioxide (NO2) (in µg/m³),2020,35,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL02: 40,SL02: nitrogen dioxide (NO2) (in µg/m³),2021,34,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL02: 40,SL02: nitrogen dioxide (NO2) (in µg/m³),2022,36,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL15: 1,SL15: benzo(a)pyrene (BaP) (in ng/m³),2018,0.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL15: 1,SL15: benzo(a)pyrene (BaP) (in ng/m³),2019,0.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL15: 1,SL15: benzo(a)pyrene (BaP) (in ng/m³),2020,0.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL15: 1,SL15: benzo(a)pyrene (BaP) (in ng/m³),2021,0.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL15: 1,SL15: benzo(a)pyrene (BaP) (in ng/m³),2022,0.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL11: 0.5,SL11: lead (Pb) (in µg/m³),2018,0.023,,,S02: Annual average.,,,SL11: Definitions : Lead contamination,spec: Highest recorded value.,,3: Three
LU1:DF_A3200(1.1),A: Annual,SL11: 0.5,SL11: lead (Pb) (in µg/m³),2019,0.025,,,S02: Annual average.,,,SL11: Definitions : Lead contamination,spec: Highest recorded value.,,3: Three
LU1:DF_A3200(1.1),A: Annual,SL11: 0.5,SL11: lead (Pb) (in µg/m³),2020,0.012,,,S02: Annual average.,,,SL11: Definitions : Lead contamination,spec: Highest recorded value.,,3: Three
LU1:DF_A3200(1.1),A: Annual,SL11: 0.5,SL11: lead (Pb) (in µg/m³),2021,0.018,,,S02: Annual average.,,,SL11: Definitions : Lead contamination,spec: Highest recorded value.,,3: Three
LU1:DF_A3200(1.1),A: Annual,SL11: 0.5,SL11: lead (Pb) (in µg/m³),2022,0.015,,,S02: Annual average.,,,SL11: Definitions : Lead contamination,spec: Highest recorded value.,,3: Three
LU1:DF_A3200(1.1),A: Annual,SL06: 5,SL06: benzene (C6H6) (in µg/m³),2018,0.4,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL06: 5,SL06: benzene (C6H6) (in µg/m³),2019,0.4,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL06: 5,SL06: benzene (C6H6) (in µg/m³),2020,0.6,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL06: 5,SL06: benzene (C6H6) (in µg/m³),2021,0.8,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL06: 5,SL06: benzene (C6H6) (in µg/m³),2022,0.7,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL08: 40,"SL08: particulate matter (PM10, <10 µm) (in µg/m³)",2018,21,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL08: 40,"SL08: particulate matter (PM10, <10 µm) (in µg/m³)",2019,21,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL08: 40,"SL08: particulate matter (PM10, <10 µm) (in µg/m³)",2020,27,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL08: 40,"SL08: particulate matter (PM10, <10 µm) (in µg/m³)",2021,19,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL08: 40,"SL08: particulate matter (PM10, <10 µm) (in µg/m³)",2022,20,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL14: 20,SL14: nickel (Ni) (in ng/m³),2018,9.4,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL14: 20,SL14: nickel (Ni) (in ng/m³),2019,11.3,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL14: 20,SL14: nickel (Ni) (in ng/m³),2020,3.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL14: 20,SL14: nickel (Ni) (in ng/m³),2021,2.2,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL14: 20,SL14: nickel (Ni) (in ng/m³),2022,2.5,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
LU1:DF_A3200(1.1),A: Annual,SL10: 35,"SL10: particulate matter (PM10, <10 µm) (in days)",2018,8,,,S08: Number of tolerated days over 50 µg/m³.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL10: 35,"SL10: particulate matter (PM10, <10 µm) (in days)",2019,5,,,S08: Number of tolerated days over 50 µg/m³.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL10: 35,"SL10: particulate matter (PM10, <10 µm) (in days)",2020,7,,,S08: Number of tolerated days over 50 µg/m³.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL10: 35,"SL10: particulate matter (PM10, <10 µm) (in days)",2021,8,,,S08: Number of tolerated days over 50 µg/m³.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL10: 35,"SL10: particulate matter (PM10, <10 µm) (in days)",2022,9,,,S08: Number of tolerated days over 50 µg/m³.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL07: 25,"SL07: particulate matter (PM2.5, <2.5 µm) (in µg/m³)",2018,9,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL07: 25,"SL07: particulate matter (PM2.5, <2.5 µm) (in µg/m³)",2019,7,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL07: 25,"SL07: particulate matter (PM2.5, <2.5 µm) (in µg/m³)",2020,9,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL07: 25,"SL07: particulate matter (PM2.5, <2.5 µm) (in µg/m³)",2021,7,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL07: 25,"SL07: particulate matter (PM2.5, <2.5 µm) (in µg/m³)",2022,7,,,S02: Annual average.,,,,spec: Highest recorded value.,,0: Zero
LU1:DF_A3200(1.1),A: Annual,SL13: 5,SL13: cadmium (Cd) (in ng/m³),2018,0.4,,,S02: Annual average.,,,,spec: Highest recorded value.,,1: One
