DATAFLOW,EMISSIONS: Emissions,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_EMISSIONS_2: Note Emissions 2,NOTE_EMISSIONS_1: Note Emissions 1,NOTE_QUARTER_2: Note quarter 2,NOTE_QUARTER_1: Note quarter 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2018-Q1,439626,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2018-Q2,460794,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2018-Q3,454396,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2018-Q4,484255,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2019,,,,,,l: Not available,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2019-Q1,435659.3269825,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2019-Q2,464151.4871175,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2019-Q3,470316.659735,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2019-Q4,428573.717725,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2020,,,,,,l: Not available,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2020-Q1,374056.6791775,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2020-Q2,411324.0918225,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2020-Q3,412926.3760325,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2020-Q4,438526.519145,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2021,,,,,,l: Not available,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2021-Q1,409979.92947,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2021-Q2,446832.0956525,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2021-Q3,486625.15274,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2021-Q4,524173.58318,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2022,,,,,,l: Not available,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2022-Q1,463082.2895675,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2022-Q2,489882.9086825,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2022-Q3,496936.661655,,,,,,0: Zero
LU1:DF_A3207(1.0),A03: Air transport,Q: Quarterly,2022-Q4,488605.05981,,,,,,0: Zero
