Time_Period,Total,Road transport,Air transport,Others
2018,11192983.0,6561828.0,1839071.0,2792084.0
2018-Q1,2936292.0,1507601.0,439626.0,989065.0
2018-Q2,2640264.0,1665337.0,460794.0,514133.0
2018-Q3,2565993.0,1668785.0,454396.0,442812.0
2018-Q4,3050434.0,1720105.0,484255.0,846074.0
2019,11320489.78247562,6723280.62088787,1798701.19156,2798507.97002775
2019-Q1,3025535.55093923,1638835.61640942,435659.3269825,951040.60754731
2019-Q2,2779015.41106591,1736688.46462468,464151.4871175,578175.45932373
2019-Q3,2642667.13310198,1712176.71874996,470316.659735,460173.75461702
2019-Q4,2873271.6873685,1635579.82110381,428573.717725,809118.14853969
2020,9607650.10282252,5317873.94476421,1636833.6661775,2652942.49188081
2020-Q1,2745168.21477673,1418897.84984286,374056.6791775,952213.68575637
2020-Q2,1985417.46240229,1062493.1483425,411324.0918225,511600.22223729
2020-Q3,2308439.07511576,1500642.43126123,412926.3760325,394870.26782203
2020-Q4,2568625.35052774,1335840.51531762,438526.519145,794258.31606512
2021,10162324.08056621,5547040.70797263,1867610.7610425,2747672.611551085
2021-Q1,2559721.9379905,1238399.4017944,409979.92947,911342.606726095
2021-Q2,2416656.12069854,1370059.47609913,446832.0956525,599764.54894692
2021-Q3,2406500.9063276,1518562.18250571,486625.15274,401313.57108189
2021-Q4,2779445.11554957,1420019.64757339,524173.58318,835251.88479618
2022,9126548.96865199,4916113.74238826,1938506.919715,2271928.306548735
2022-Q1,2666314.1637265,1339113.39265012,463082.2895675,864118.481508885
2022-Q2,2224785.67985593,1287182.46263951,489882.9086825,447720.30853392
2022-Q3,2057129.43599832,1165812.93439742,496936.661655,394379.839945905
2022-Q4,2178319.68907124,1124004.95270121,488605.05981,565709.676560025
